city_id,CityName,SafetyRating,AdministrationRating,DeathsToCasesRation,Latitude,Longitude
467,Passaic,3,0.0015341,0.534047064,40.8567662,-74.1284764
468,Daytona Beach,3,0.0015493,0.491393837,29.2108147,-81.0228331
469,Muncie,3,0.001553,0.599371998,40.1933767,-85.3863599
470,Redlands,3,0.0015729,0.791973878,34.0555693,-117.1825381
471,Vineland,3,0.0015759,0.586361513,39.4863773,-75.02596369999999
472,Bethlehem,3,0.001576,0.534769451,31.7053821,35.2024425
473,Lebanon,3,0.0015804,0.664375759,33.854721,35.862285
474,Parma,3,0.001588,0.608081321,44.801485,10.3279036
475,Daphne,3,0.0015892,0.974343104,30.6035255,-87.9036047
476,Camarillo,3,0.0015905,0.540909274,34.2163937,-119.0376023
477,Lakeville,3,0.0015905,0.684687863,44.6496868,-93.24271999999999
478,Sherman,3,0.0016005,0.509485751,37.2572835,-95.0571872
479,Lawton,3,0.0016157,0.552934627,34.6035669,-98.39592909999999
480,Federal Way,3,0.001623,0.660925237,47.3223221,-122.3126222
481,Livermore,3,0.0016244,0.759066173,37.6818688,-121.7684732
482,West Des Moines,3,0.0016247,0.636393018,41.5638902,-93.75938409999999
483,Framingham,3,0.0016378,0.49707647,42.279286,-71.4161565
484,Edmond,3,0.001638,0.46342429,35.6528323,-97.47809540000002
485,Rapid City,3,0.0016443,0.512550284,44.0805434,-103.2310149
486,Southfield,3,0.0016521,0.501939922,42.4733688,-83.2218731
487,Rio Rancho,3,0.0016533,0.71187141,35.2327544,-106.6630437
488,Redondo Beach,3,0.0016607,0.47150438,33.8491816,-118.3884078
489,Conroe,3,0.0016633,0.493043589,30.3118769,-95.45605119999999
490,Victoria,3,0.0016685,0.613501202,28.8052674,-97.0035982
491,Rowlett,3,0.0016702,0.695878351,32.9029017,-96.56388
492,Troy,3,0.0016704,0.630336221,42.6064095,-83.1497751
493,Springdale,3,0.0016773,0.749005252,36.18674420000001,-94.1288141
494,Gaithersburg,3,0.0016777,0.800972743,39.1439689,-77.2016062
495,Williamsburg,3,0.0016797,0.737289555,37.2707022,-76.7074571
496,Cedar Park,3,0.0016798,0.642773652,30.505198,-97.8202888
497,Melbourne,3,0.0016892,0.333751385,-37.8136276,144.9630576
498,Elizabethtown,3,0.0016912,0.536314836,37.7030646,-85.8649408
499,Alameda,3,0.001699,0.686692074,37.7798721,-122.2821855
500,Bolingbrook,3,0.0016998,0.621345707,41.69864159999999,-88.0683955
501,Broomfield,3,0.001703,0.508400028,39.9205411,-105.0866504
502,Plymouth,3,0.0017104,0.864771555,41.9584457,-70.6672621
503,Castle Rock,3,0.0017186,0.691276941,39.3722121,-104.8560902
504,Livonia,3,0.0017249,0.692552834,42.36837,-83.35270969999999
505,Casper,3,0.0017252,0.517690144,39.04117859999999,-94.5911521
506,San Marcos,3,0.0017258,0.64310954,29.8832749,-97.9413941
507,Yorba Linda,3,0.0017283,0.509450228,33.88850350000001,-117.8132571
508,Bryan,3,0.0017293,0.579837387,30.6743643,-96.3699632
509,Palatine,3,0.0017447,0.636499321,42.1103041,-88.03424000000001
510,Silver Spring,3,0.0017478,0.823588758,38.99066570000001,-77.026088
511,Citrus Heights,3,0.0017482,0.511904761,38.7071247,-121.2810611
512,Norwalk,3,0.0017532,0.540448717,41.11774399999999,-73.4081575
513,Perris,3,0.0017589,0.531477867,33.7825194,-117.2286478
514,Wyoming,3,0.0017655,0.797407045,43.0759678,-107.2902839
515,Napa,3,0.0017668,0.427218474,36.7000812,-95.63893139999999
516,Mission,3,0.001769,0.400601061,26.2159066,-98.32529319999999
517,South San Francisco,3,0.0017723,0.718668746,37.654656,-122.4077498
518,O'Fallon,3,0.0017867,0.379542899,38.8106075,-90.69984769999999
519,Cleveland,3,0.0017928,0.576430921,41.49932,-81.6943605
520,Jackson,3,0.0017948,0.696975328,37.0370221,-95.6164276
521,Casas Adobes,3,0.0017954,0.540577523,32.3234078,-110.9950966
522,San Tan Valley,3,0.0017956,0.431969348,33.177294,-111.5468301
523,Compton,3,0.001798,0.73465768,33.8958492,-118.2200712
524,Lawrence,3,0.0017982,0.5603853,38.9716689,-95.2352501
525,Saratoga Springs,3,0.0017985,0.634892511,43.0831301,-73.7845651
526,Union City,3,0.0017987,0.543789184,37.5933562,-122.0438609
527,Lawrence,3,0.0018013,0.574745841,38.9716689,-95.2352501
528,Newton,3,0.0018016,0.666594256,42.4979286,-92.3358154
529,Johns Creek,3,0.0018116,0.476952495,34.0289259,-84.198579
530,Owensboro,3,0.0018169,0.549854452,37.7719074,-87.1111676
531,Missouri City,3,0.0018205,0.470848228,29.6185669,-95.5377215
532,Pawtucket,3,0.0018208,0.740646748,41.878711,-71.38255579999999
533,Ames,3,0.0018258,0.469310555,42.0307812,-93.63191309999999
534,Brooklyn Park,3,0.0018312,0.794459659,45.0941315,-93.3563405
535,Somerville,3,0.0018358,0.76613875,42.3875968,-71.0994968
536,Decatur,3,0.0018383,0.654680004,33.7748275,-84.2963123
537,Folsom,3,0.0018466,0.440480781,38.6779591,-121.1760583
538,Conway,3,0.0018486,0.384004374,35.0886963,-92.4421011
539,Bossier City,3,0.0018602,0.800720953,32.5159852,-93.7321228
540,Guaynabo,3,0.0018609,0.44242919,18.3615548,-66.11106819999999
541,Newark,3,0.0018701,0.662245915,40.735657,-74.1723667
542,Buena Park,3,0.001871,0.549869468,33.8674044,-117.9981387
543,Boca Raton,3,0.0018719,0.52415337,26.3683064,-80.1289321
544,Alpharetta,3,0.0018724,0.488442323,34.0753762,-84.2940899
545,Pasco,3,0.0018731,0.481628178,28.3232418,-82.4319405
546,Florence,3,0.0018741,0.447729672,43.7695604,11.2558136
547,Lodi,3,0.0018758,0.557488149,38.1341477,-121.2722194
548,Clifton,3,0.0018807,0.659893758,40.8584328,-74.16375529999999
549,Bellflower,3,0.0018841,0.571601629,33.8816818,-118.1170117
550,Largo,3,0.0018845,0.674726866,27.9094665,-82.7873244
551,Baldwin Park,3,0.0018848,0.55993464,34.0852868,-117.9608978
552,Wilmington,3,0.0018853,0.503244581,34.2103894,-77.8868117
553,Alafaya,3,0.0018905,0.601973302,28.5641,-81.2114
554,Port Huron,3,0.0018928,0.809184654,42.9708634,-82.42491419999999
555,Blacksburg,3,0.0018938,0.598004694,37.2295733,-80.4139393
556,Flower Mound,3,0.0018939,0.53755277,33.0145673,-97.0969552
557,Ankeny,3,0.0018943,0.73317267,41.7317884,-93.6001278
558,Menifee,3,0.0018945,0.562607876,33.6971468,-117.185294
559,Mount Vernon,3,0.0018965,0.49772654,38.707982,-77.0861753
560,Layton,3,0.0019063,0.545446858,41.0602216,-111.9710529
561,Redmond,3,0.0019066,0.523255813,47.6739881,-122.121512
562,Lake Elsinore,3,0.0019113,0.489434836,33.6680772,-117.3272615
563,Centreville,3,0.001913,0.492847586,38.8403909,-77.42887689999999
564,Sheboygan,3,0.0019144,0.436744712,43.7508284,-87.71453
565,Weston,3,0.0019167,0.638945838,39.4111092,-94.9016298
566,Caguas,3,0.0019184,0.561962569,18.2387995,-66.035249
567,Lake Jackson,3,0.0019214,0.446382978,29.0338575,-95.4343859
568,Madera,3,0.001931,0.435152582,36.9613356,-120.0607176
569,Lima,3,0.0019371,0.805743686,-12.0463731,-77.042754
570,Chino,3,0.0019407,0.488650521,34.0122346,-117.688944
571,Buckeye,3,0.0019527,0.557158927,33.3703197,-112.5837766
572,Los Lunas,3,0.0019528,0.49740117,34.806166,-106.7333599
573,Jonesboro,3,0.0019558,0.608040201,35.84229670000001,-90.704279
574,Apple Valley,3,0.0019617,0.589468302,34.5008311,-117.1858759
575,Lafayette,3,0.0019624,0.638372513,30.2240897,-92.0198427
576,Hawthorne,3,0.0019652,0.510253444,33.9164032,-118.3525748
